City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
589,Caxito,AO,76.48,overcast clouds,-8.5785,13.6643,
590,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
591,Koulikoro,ML,74.28,overcast clouds,14.0,-7.75,
595,Mizan Teferi,ET,66.65,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
597,Tuy Hoa,VN,69.24,few clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
598,Manono,CD,69.48,light rain,-7.3,27.4167,Hotel hewa bora
600,Sawtell,AU,66.22,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
601,Cockburn Town,TC,78.3,few clouds,21.4612,-71.1419,Osprey Beach Hotel
602,Pangai,TO,80.94,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
604,Kyabe,TD,80.87,clear sky,9.4515,18.9449,
605,Vao,NC,77.43,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
611,Gisborne,NZ,64.94,clear sky,-38.6533,178.0042,ASURE Alfresco Motor Lodge
613,Pandamatenga,BW,64.35,clear sky,-18.5278,25.627,Wildtrack Safaris Eco Lodge
617,Anori,BR,78.66,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
618,Rio Gallegos,AR,62.65,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
619,Kroya,ID,76.19,moderate rain,-7.6331,109.2461,RUSTANTO Fam
620,Isangel,VU,77.11,few clouds,-19.55,169.2667,Tanna Lodge
621,Maragogi,BR,83.88,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
622,Kaeo,NZ,64.17,broken clouds,-35.1,173.7833,Bushido Lodge
623,Palu,ID,74.44,scattered clouds,-0.8917,119.8707,Hotel Santika Palu
627,Bocana De Paiwas,NI,84.31,broken clouds,12.7857,-85.1227,Guapinol Cabaña Monge
629,Lorengau,PG,80.17,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
631,Antalaha,MG,75.85,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
632,Pringsewu,ID,73.65,overcast clouds,-5.3582,104.9744,Urban Style by Front One
633,Chimore,BO,79.99,broken clouds,-16.9833,-65.1333,Bichito
637,Itarema,BR,84.61,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
638,Noumea,NC,80.01,few clouds,-22.2763,166.4572,Hôtel Le Lagon
640,Nizwa,OM,60.42,clear sky,22.9333,57.5333,Orient Apartments
641,Los Llanos De Aridane,ES,65.95,few clouds,28.6585,-17.9182,Valle Aridane
642,Biltine,TD,72.93,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
643,Arari,BR,84.45,broken clouds,-3.4536,-44.78,Churrascaria E Hotel Brisa Do Mearim
644,Chimoio,MZ,71.46,broken clouds,-19.1164,33.4833,Predio Livraria Ahmed
648,Ridgecrest,US,60.15,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
649,Niquero,CU,82.22,clear sky,20.0431,-77.5828,Islazul Niquero
651,Valparaiso,CL,80.24,clear sky,-33.0393,-71.6273,Hotel Ultramar
654,Praia Da Vitoria,PT,61.05,broken clouds,38.7333,-27.0667,Hotel Branco I
658,Maldonado,UY,82.22,clear sky,-34.6667,-54.9167,La Cimarrona
660,Carutapera,BR,83.46,broken clouds,-1.195,-46.02,Lidera
662,Ibra,OM,60.21,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
663,Talara,PE,84.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
666,Hindoria,IN,62.69,overcast clouds,23.9,79.5667,जहान होटल
667,Ternate,ID,79.88,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
671,Araouane,ML,70.02,overcast clouds,18.9048,-3.5265,
675,Mogadishu,SO,78.55,overcast clouds,2.0371,45.3438,Hotel Juba
677,Pakxe,LA,74.7,overcast clouds,15.1167,105.7833,Champasak Palace Hotel
678,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,Derogongan Residence
681,Maputo,MZ,78.22,broken clouds,-25.9653,32.5892,Pestana Rovuma
684,Katherine,AU,75.52,light rain,-14.4667,132.2667,Pine Tree Motel
686,Zemio,CF,74.19,overcast clouds,5.0314,25.1361,OCHA Office
